>0	0	 0.830	-82.619	-70.053
104	9700	1
4	7700	1
>1	0	-3.056	-65.564	-89.710
41	4400	1
51	4300	1
84	4200	1
82	4000	1
14	3800	1
13	3700	1
105	3500	1
69	3500	1
21	3400	1
3	3400	1
78	3300	1
65	3300	1
40	3300	1
98	3200	1
76	3100	1
95	3000	1
12	3000	1
96	2900	1
61	2900	1
73	2800	1
56	2800	1
77	2600	1
46	2600	1
38	2600	1
106	2400	1
97	2400	1
94	2300	1
25	2300	1
116	2200	1
30	2200	1
26	2200	1
99	2100	1
75	2100	1
55	2100	1
117	2000	1
102	2000	1
66	2000	1
62	2000	1
19	1900	1
23	1800	1
123	1700	1
107	1700	1
58	1700	1
110	1600	1
108	1600	1
60	1200	0
121	1100	0
57	1000	0
85	800	0
85	-1000	0
60	-1000	0
75	-1400	1
99	-1400	1
23	-1700	1
107	-1700	1
108	-1800	1
57	-1900	1
62	-1900	1
102	-2000	1
94	-2000	1
66	-2100	1
123	-2100	1
121	-2100	1
55	-2100	1
25	-2100	1
97	-2200	1
58	-2200	1
19	-2200	1
106	-2300	1
38	-2300	1
117	-2400	1
110	-2500	1
98	-2600	1
78	-2700	1
30	-2700	1
95	-2700	1
77	-2800	1
61	-2900	1
40	-2900	1
116	-3100	1
69	-3100	1
26	-3100	1
96	-3200	1
73	-3200	1
46	-3200	1
14	-3200	1
12	-3300	1
105	-3300	1
76	-3300	1
65	-3400	1
56	-3500	1
13	-3500	1
82	-3600	1
41	-3800	1
84	-3800	1
51	-3900	1
21	-4200	1
3	-4200	1
>2	0	 4.475	-38.244	87.066
>3	0	-7.533	-66.772	-85.139
82	4800	1
79	4700	1
38	4000	1
56	3600	1
16	3500	1
12	3400	1
1	3400	1
73	3200	1
21	3200	1
90	3100	1
46	3100	1
120	2900	1
83	2900	1
26	2600	1
77	2500	1
36	2200	1
106	1800	1
91	1700	1
58	1300	0
25	1200	0
116	1000	0
29	1000	0
108	900	0
102	900	0
55	900	0
85	800	0
100	600	0
123	500	0
28	500	0
34	100	0
55	-500	0
102	-500	0
85	-800	0
28	-800	0
25	-1000	0
123	-1100	0
108	-1100	0
100	-1100	0
116	-1100	0
58	-1200	0
34	-1200	0
29	-1300	0
106	-1400	1
36	-1700	1
26	-1800	1
77	-2000	1
91	-2100	1
16	-2500	1
83	-2600	1
73	-2700	1
12	-2800	1
120	-2800	1
56	-3100	1
46	-3300	1
38	-3500	1
1	-3600	1
90	-3600	1
21	-3600	1
82	-3600	1
79	-3800	1
>4	0	 0.834	-84.444	-72.000
104	7900	1
0	7700	1
>5	0	-6.558	-63.686	-88.807
70	6200	1
44	5900	1
7	5400	1
61	5200	1
6	5200	1
71	5100	1
118	5000	1
72	5000	1
60	5000	1
52	5000	1
51	5000	1
40	5000	1
119	4900	1
39	4700	1
109	4600	1
41	4600	1
95	4400	1
63	4300	1
105	4100	1
96	4100	1
65	4000	1
55	4000	1
42	4000	1
115	3800	1
20	3800	1
64	3700	1
47	3700	1
45	2800	1
45	-500	0
47	-500	0
42	-700	0
52	-700	0
60	-700	0
95	-700	0
63	-800	0
6	-800	0
109	-800	0
71	-900	0
55	-900	0
41	-900	0
119	-900	0
118	-900	0
105	-900	0
96	-1000	0
72	-1100	0
20	-1100	0
7	-1100	0
51	-1100	0
44	-1200	0
39	-1200	0
115	-1200	0
70	-1400	1
65	-1500	1
61	-1700	1
64	-1900	1
40	-2600	1
>6	0	-7.207	-64.587	-88.565
119	8000	1
118	7600	1
7	6200	1
60	5800	1
50	5400	1
49	5400	1
117	5300	1
92	5200	1
47	5200	1
5	5200	1
97	5100	1
70	5100	1
52	5000	1
36	5000	1
40	4900	1
31	4900	1
62	4800	1
39	4800	1
78	4700	1
98	4600	1
89	4600	1
55	4600	1
63	4500	1
95	4400	1
108	4300	1
65	4300	1
58	4300	1
66	4100	1
115	4000	1
109	4000	1
99	4000	1
64	4000	1
41	4000	1
80	3900	1
75	3900	1
44	3900	1
23	3800	1
51	3600	1
94	3400	1
82	2900	1
68	2900	1
38	2300	1
14	1400	0
13	900	0
30	600	0
13	-100	0
14	-300	0
30	-400	0
38	-500	0
82	-800	0
68	-800	0
94	-800	0
51	-900	0
41	-1000	0
44	-1000	0
75	-1000	0
